station_id,ura,avg_load
28,15,0.42466827
28,16,0.43849569
28,17,0.48326328
28,18,0.51167735
28,19,0.49692729
28,20,0.49493326
28,21,0.49889416
29,7,0.48284333
29,8,0.47854719
29,9,0.46114658
29,10,0.45250538
29,11,0.44781217
29,12,0.44560238
29,13,0.44430274
29,14,0.44383513
29,15,0.44526971
29,16,0.45487125
29,17,0.47795344
29,18,0.49041609
29,19,0.48764628
29,20,0.48315247
29,21,0.48135069
30,7,0.52219203
30,8,0.48181440
30,9,0.48042031
30,10,0.48823604
30,11,0.49098591
30,12,0.49154243
30,13,0.49306486
30,14,0.49174098
30,15,0.48889420
30,16,0.48714107
30,17,0.49418437
30,18,0.50567521
30,19,0.53089264
30,20,0.53812801
30,21,0.54084059
31,7,0.46328187
31,8,0.47285033
31,9,0.51296399
31,10,0.53246830
31,11,0.53620579
31,12,0.53442716
31,13,0.53032090
31,14,0.52878515
31,15,0.52631336
31,16,0.50793492
31,17,0.45947424
31,18,0.43108346
31,19,0.43992093
31,20,0.44890305
31,21,0.45570416
32,7,0.40043702
32,8,0.39964216
32,9,0.44718161
32,10,0.48877363
32,11,0.48921083
32,12,0.48359825
32,13,0.48279854
32,14,0.47990649
32,15,0.47799744
32,16,0.46006850
32,17,0.40626186
32,18,0.36718510
32,19,0.37411053
32,20,0.39445528
32,21,0.40202601
33,7,0.45354621
33,8,0.43480323
33,9,0.42549807
33,10,0.42378964
33,11,0.42422011
33,12,0.42371281
33,13,0.42337268
33,14,0.42401718
33,15,0.42477728
33,16,0.42561357
33,17,0.42789383
33,18,0.44287413
33,19,0.45493395
33,20,0.45848393
33,21,0.46227928
34,7,0.45619080
34,8,0.44844566
34,9,0.42590883
34,10,0.41382654
34,11,0.41361588
34,12,0.41614268
34,13,0.41858022
34,14,0.41784301
34,15,0.41883574
34,16,0.42373991
34,17,0.43602885
34,18,0.44612642
34,19,0.44576927
34,20,0.45195458
34,21,0.45648968
35,7,0.56700419
35,8,0.56395880
35,9,0.56172178
35,10,0.56387243
35,11,0.56031816
35,12,0.55740501
35,13,0.56111321
35,14,0.56425188
35,15,0.56067017
35,16,0.55924703
35,17,0.56329120
35,18,0.57110323
35,19,0.57302274
35,20,0.56975881
35,21,0.56677138
36,7,0.54560338
36,8,0.54434557
36,9,0.54990547
36,10,0.54899871
36,11,0.54698678
36,12,0.54911934
36,13,0.55100802
36,14,0.54911008
36,15,0.54766224
36,16,0.54535006
36,17,0.54182161
36,18,0.54234830
36,19,0.54589035
36,20,0.54471107
36,21,0.54587781
37,7,0.47465818
37,8,0.46919567
37,9,0.48162670
37,10,0.49016765
37,11,0.48825705
37,12,0.48547590
37,13,0.48706550
37,14,0.48645127
37,15,0.48833690
37,16,0.48808790
37,17,0.48330358
37,18,0.47393943
37,19,0.46980223
37,20,0.47034437
37,21,0.47274521
38,7,0.49648978
38,8,0.50331525
38,9,0.51936908
38,10,0.52401793
38,11,0.52286412
38,12,0.52207861
38,13,0.52200433
38,14,0.51982864
38,15,0.51960191
38,16,0.51728892
38,17,0.50580812
38,18,0.49734022
38,19,0.49586202
38,20,0.49423367
38,21,0.49432375
39,7,0.56093950
39,8,0.55074354
39,9,0.52078317
39,10,0.50598236
39,11,0.49320564
39,12,0.49757598
39,13,0.48707297
39,14,0.48609466
39,15,0.49082991
39,16,0.50057803
39,17,0.54573821
39,18,0.59197585
39,19,0.62468445
39,20,0.61882125
39,21,0.61268274
41,7,0.35137609
41,8,0.42759368
41,9,0.52648572
41,10,0.53210972
41,11,0.51651011
41,12,0.50822874
41,13,0.50551823
41,14,0.49396111
41,15,0.48904228
41,16,0.47179151
41,17,0.38185536
41,18,0.33050103
41,19,0.33616093
41,20,0.35008713
